2026-06-26 11:27:43,674 | CRITICAL | 🚨 THREAT DETECTED | DANGEROUS PORT | Source: 10.0.0.99 | Attempt on Telnet port 23
2026-06-26 11:30:01,229 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,230 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,256 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,257 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,282 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,283 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,285 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,286 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,370 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,371 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,386 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,387 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,589 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,590 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,603 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,604 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,605 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,606 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,677 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,678 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,695 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,696 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,820 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,820 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,901 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,903 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,924 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,925 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,927 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,966 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:01,997 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:01,998 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,016 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,018 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,136 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,137 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,230 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,231 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,306 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,307 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,321 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,322 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,323 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,371 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,380 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,381 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
2026-06-26 11:30:02,382 | INFO | ALLOW  | TCP   | 142.250.77.42:443 → 192.168.25.128:46734 | Rule: Default policy
2026-06-26 11:30:02,383 | INFO | ALLOW  | TCP   | 192.168.25.128:46734 → 142.250.77.42:443 | Rule: Allow HTTPS outbound
